Info 170  [22:8:3.16] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 171  [22:8:3.19] getSymbolsFromOtherSourceFileExports: Using cached list
Info 172  [22:8:3.36] getCompletionData: Semantic work: 20
Info 173  [22:8:3.40] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 4
Info 174  [22:8:3.115] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 175  [22:8:3.122] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false Elapsed: 7ms
Info 176  [22:8:3.122] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 177  [22:8:3.123] getCompletionData: Get current token: 0
Info 178  [22:8:3.123] getCompletionData: Is inside comment: 0
Info 179  [22:8:3.123] getCompletionData: Get previous token 1: 0
Info 180  [22:8:3.123] getCompletionData: Get previous token 2: 0
Info 181  [22:8:3.123] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 182  [22:8:3.126] getSymbolsFromOtherSourceFileExports: Using cached list
Info 183  [22:8:3.140] getCompletionData: Semantic work: 17
Info 184  [22:8:3.146] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5
Info 185  [22:8:3.877] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 186  [22:8:3.882] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false Elapsed: 5ms
Info 187  [22:8:3.882] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 188  [22:8:3.883] getCompletionData: Get current token: 0
Info 189  [22:8:3.883] getCompletionData: Is inside comment: 0
Info 190  [22:8:3.883] getCompletionData: Get previous token 1: 0
Info 191  [22:8:3.883] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 192  [22:8:3.885] getSymbolsFromOtherSourceFileExports: Using cached list
Info 193  [22:8:3.898] getCompletionData: Semantic work: 15
Info 194  [22:8:3.901] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 3
Info 195  [22:8:5.539] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 196  [22:8:5.549] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false Elapsed: 10ms
Info 197  [22:8:5.550] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 198  [22:8:6.457] DirectoryWatcher:: Triggered with /users/oyvind/documents/programming/projects/web/workout_tracker/workout_tracker_frontend/node_modules/.cache/eslint-loader/7090e9f8ea94390157fe1f82cad906eb6c20b804.json.gz :: WatchInfo: /users/oyvind/documents/programming/projects/web/workout_tracker/workout_tracker_frontend/node_modules 1 undefined Project:  WatchType: node_modules for closed script infos in them
